{ 29365168, 7027256477, "Rue des Gouronnières", "residential", 30, false }
{ 29365168, 11093572852, "Square des Gouronnières", "residential", 30, false }
{ 29365828, 1340246434, "nan", "secondary", 30, true }
{ 29365829, 633258804, "nan", "secondary", 30, true }
{ 29365839, 915306138, "Boulevard Mirault", "secondary", -1, true }
{ 29365839, 915057956, "Rue Larrey", "tertiary", -1, true }
{ 29365839, 6805665214, "Rue Larrey", "tertiary", 50, false }
{ 29365857, 2501431382, "Rue Maillé", "living_street", -1, true }
{ 29365857, 2501431407, "Boulevard Ayrault", "secondary", 50, true }
{ 29365871, 29340497, "Quai Félix Faure", "residential", -1, false }
{ 29365871, 2077336247, "Avenue des Droits de l'Homme", "residential", 30, false }
{ 29365871, 1588627267, "Quai Félix Faure", "unclassified", -1, false }
{ 29718405, 2532926929, "Rue de la Meignanne", "tertiary", 50, true }
{ 29718405, 1340240328, "Rue de Nazareth", "residential", 30, true }
{ 29718449, 29718451, "Rue de Nazareth", "residential", 30, true }
{ 29718449, 1340240286, "Rue de Nazareth", "residential", 30, false }
{ 29718450, 29718405, "Rue de la Meignanne", "tertiary", 50, true }
{ 29718450, 29718453, "Rue de Nazareth", "residential", 30, true }
{ 29718451, 29718405, "Rue de Nazareth", "residential", 30, true }
{ 29718451, 29718453, "nan", "footway", -1, false }
{ 29718453, 29718451, "nan", "footway", -1, false }
{ 29718453, 29718449, "Rue de Nazareth", "residential", 30, true }
{ 29756682, 11093572830, "nan", "service", -1, false }
{ 29756682, 2026456796, "Rue du Général Lizé", "secondary", 30, false }
{ 29756682, 2260656966, "Rue du Général Lizé", "secondary", 30, false }
{ 29756683, 1819421033, "Rue du Général Lizé", "secondary", 50, false }
{ 29756683, 11042891216, "Rue du Général Lizé", "secondary", 50, false }
{ 29756683, 1340104684, "Rue René Tranchant", "residential", 30, false }
{ 29756687, 4317606514, "Rue du Général Lizé", "secondary", -1, false }
{ 29756687, 9121642104, "Rue du Général Lizé", "secondary", -1, false }
{ 29794777, 5098348114, "Rue Larévellière", "tertiary", 30, false }
{ 29794777, 9902134586, "Rue Larévellière", "tertiary", 30, false }
{ 29794777, 8955161397, "Boulevard des Deux Croix", "residential", 30, true }
{ 29794780, 5863967905, "Rue Guillaume Lekeu", "tertiary", -1, false }
{ 29794780, 6522134399, "Rue Guillaume Lekeu", "tertiary", -1, false }
{ 29794780, 9233674792, "nan", "footway", -1, false }
{ 29794780, 9233694064, "nan", "footway", -1, false }
{ 29794783, 603107051, "Route d’Angers", "tertiary", -1, false }
{ 29794783, 6522134393, "Rue Guillaume Lekeu", "tertiary", -1, false }
{ 29794783, 6522134390, "Rue Gandhi", "secondary", -1, true }
{ 29927170, 3453817865, "Rue du capitaine Echeman", "residential", 50, false }
{ 29927170, 1340447879, "Avenue René Gasnier", "secondary", 50, false }
{ 29927170, 3453817868, "Avenue René Gasnier", "secondary", 50, false }
{ 30397727, 6612032953, "nan", "secondary", 30, true }
{ 30402329, 1045992099, "Quai Félix Faure", "trunk", -1, true }
{ 30402706, 1046178973, "['Quai Gambetta', 'Quai René Bazin', 'Quai de Ligny']", "trunk", 50, true }
{ 30402706, 1045991930, "nan", "trunk_link", 30, true }
{ 30402726, 603054419, "nan", "trunk", 90, true }
{ 30403360, 32320827, "nan", "trunk_link", -1, true }
{ 30403360, 244892990, "nan", "trunk", 90, true }
{ 30403376, 262141386, "Quai Gambetta", "trunk", 50, true }
{ 30404204, 2041973797, "Avenue du Général Patton", "tertiary", 50, false }
{ 30404204, 7079385874, "Avenue du Général Patton", "tertiary", 30, true }
{ 30404204, 7079385877, "Boulevard Victor Beaussier", "residential", 30, true }
{ 30404212, 3392459339, "Avenue du Général Patton", "tertiary", 30, true }
{ 30404212, 4934216819, "nan", "footway", -1, false }
{ 30654543, 7772103102, "Place Pierre Mendès France", "secondary", -1, true }
{ 30654543, 7613252871, "Boulevard du Maréchal Joffre", "residential", -1, false }
{ 30654543, 1341424659, "Boulevard du Maréchal Joffre", "residential", -1, false }
{ 30654549, 2482443106, "Rue Boisnet", "residential", 30, true }
{ 30654549, 6835386980, "Rue du Commerce", "residential", 30, false }
{ 30654568, 6740145132, "Place Louis Imbach", "residential", 30, true }
{ 30654568, 1406779302, "Rue Jules Guitton", "residential", 30, false }
{ 30654572, 8637837502, "Place Pierre Mendès France", "secondary", 50, true }
{ 30654572, 8637908580, "Rue Jules Guitton", "residential", 30, false }
{ 30654575, 2481145782, "nan", "footway", -1, false }
{ 30654575, 1803706048, "Boulevard Résistance et Déportation", "secondary", 50, true }
{ 30654575, 2481145742, "nan", "footway", -1, false }
{ 30654579, 7086942665, "Boulevard Bessonneau", "secondary", -1, true }
{ 30654579, 2122605359, "Avenue du 11 Novembre 1918", "residential", -1, false }
{ 30654579, 1341424622, "Rue du Mail", "residential", 30, false }
{ 30654585, 6690555204, "Rue Desjardins", "residential", 30, true }
{ 30654585, 6690555206, "Rue du Quinconce", "residential", 30, false }
{ 30654585, 6690555205, "Rue du Quinconce", "residential", 30, false }
{ 30654586, 6027540061, "Rue Desjardins", "residential", 30, true }
{ 30654586, 6027540063, "Rue Hanneloup", "tertiary", 30, true }
{ 30654587, 6821234469, "nan", "service", -1, false }
{ 30654587, 6027540059, "Rue Desjardins", "residential", 30, false }
{ 30654587, 6025377961, "Rue Marie Placé", "residential", 30, true }
{ 30654588, 2112304187, "Rue Hanneloup", "tertiary", 30, false }
{ 30654588, 6013502232, "Rue Hanneloup", "tertiary", 30, true }
